New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z,P_term_vel_x,I_term_vel_x,D_term_vel_x,error_vel_x,d_error_vel_x,desired_pitch_angle
39.536795000,0.013104000,0.470215,43,93.405563,35053,0.0093,-0.100,2.255,0.893,-0.003,-0.012,0.003,0.060,-0.004,0.079,-0.123,0.040,0.030,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.545138000,0.021447000,0.480469,43,53.951984,35054,-0.0019,-0.100,2.255,0.893,-0.004,-0.011,0.006,0.057,-0.003,0.079,-0.172,0.046,0.008,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.545473000,0.021782000,0.488770,43,119.961609,35055,-0.0080,-0.100,2.254,0.894,-0.003,-0.015,0.010,0.054,-0.003,0.077,-0.217,0.041,-0.039,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.556289000,0.032598000,0.499512,43,3030.302979,35056,0.0001,-0.100,2.254,0.894,-0.002,-0.015,0.012,0.052,-0.003,0.074,-0.200,0.022,-0.097,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.578827000,0.055136000,0.510254,43,92.481270,35057,0.0118,-0.100,2.254,0.894,-0.002,-0.013,0.014,0.051,-0.004,0.071,-0.175,0.001,-0.146,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.585263000,0.061572000,0.520508,43,44.383293,35058,-0.0038,-0.100,2.254,0.894,-0.002,-0.012,0.018,0.049,-0.005,0.068,-0.171,-0.031,-0.184,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.586200000,0.062509000,0.530273,43,155.496811,35059,-0.0088,-0.100,2.254,0.895,-0.002,-0.013,0.021,0.048,-0.008,0.066,-0.163,-0.105,-0.200,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.595825000,0.072134000,0.540527,43,1072.961426,35060,-0.0006,-0.100,2.254,0.895,-0.007,-0.011,0.023,0.045,-0.010,0.064,-0.198,-0.127,-0.193,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.606075000,0.082384000,0.550293,43,103.950104,35061,0.0005,-0.100,2.254,0.895,-0.015,-0.012,0.026,0.040,-0.013,0.064,-0.280,-0.166,-0.155,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.614014000,0.090323000,0.558105,43,97.637177,35062,0.0001,-0.101,2.253,0.895,-0.026,-0.013,0.026,0.034,-0.015,0.063,-0.381,-0.181,-0.122,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.625273000,0.101582000,0.568359,43,126.039825,35063,0.0010,-0.101,2.253,0.896,-0.032,-0.012,0.025,0.028,-0.015,0.064,-0.439,-0.131,-0.080,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.636773000,0.113082000,0.580566,43,88.873093,35064,-0.0007,-0.102,2.253,0.896,-0.037,-0.008,0.022,0.023,-0.014,0.064,-0.440,-0.090,-0.055,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.647303000,0.123612000,0.590820,43,87.009483,35065,0.0003,-0.102,2.254,0.896,-0.043,-0.004,0.017,0.020,-0.014,0.064,-0.391,-0.049,-0.034,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.658814000,0.135123000,0.599609,43,95.011879,35066,0.0027,-0.103,2.254,0.896,-0.049,0.002,0.012,0.022,-0.015,0.065,-0.235,-0.065,-0.008,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.669043000,0.145352000,0.610352,43,86.926285,35067,-0.0005,-0.104,2.254,0.896,-0.051,0.006,0.007,0.026,-0.014,0.067,-0.083,-0.033,0.028,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.683926000,0.160235000,0.619141,43,97.809074,35068,0.0061,-0.104,2.254,0.896,-0.055,0.014,0.003,0.033,-0.011,0.067,0.135,0.057,0.040,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.688218000,0.164527000,0.630371,43,67.226891,35069,-0.0069,-0.105,2.255,0.896,-0.057,0.017,0.003,0.037,-0.009,0.068,0.196,0.076,0.050,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.694257000,0.170566000,0.638672,43,233.372223,35070,-0.0023,-0.106,2.255,0.896,-0.063,0.024,0.000,0.043,-0.009,0.069,0.319,0.066,0.073,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.705755000,0.182064000,0.650391,43,165.837479,35071,-0.0002,-0.106,2.255,0.896,-0.061,0.021,-0.001,0.045,-0.009,0.072,0.284,0.057,0.112,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.718058000,0.194367000,0.660156,43,87.032204,35072,0.0025,-0.107,2.255,0.896,-0.064,0.020,0.002,0.043,-0.007,0.074,0.161,0.078,0.125,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.731864000,0.208173000,0.669922,43,81.327263,35073,0.0040,-0.108,2.256,0.896,-0.069,0.023,0.005,0.042,-0.006,0.075,0.087,0.100,0.129,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.742798000,0.219107000,0.680176,43,72.463768,35074,0.0007,-0.109,2.256,0.896,-0.069,0.026,0.007,0.044,-0.005,0.075,0.115,0.086,0.111,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.750077000,0.226386000,0.690430,43,91.499680,35075,-0.0030,-0.109,2.256,0.896,-0.064,0.028,0.008,0.049,-0.008,0.076,0.200,0.003,0.105,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.760117000,0.236426000,0.700195,43,137.532669,35076,0.0003,-0.109,2.256,0.896,-0.059,0.027,0.009,0.054,-0.010,0.078,0.298,-0.047,0.113,-0.072,2.781,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,81,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.772372000,0.248681000,0.709961,43,99.661156,35077,0.0025,-0.110,2.256,0.896,-0.055,0.021,0.011,0.057,-0.012,0.077,0.280,-0.079,0.062,-0.107,2.255,0.293,1504,1498,950,1510,0.003,-0.001,-0.754,1,81,0,0.001,0.000,0.055,0.056,0.003,-0.001,-0.603,0.000,0.000,-1.131,0.110,11.312,-1.131
39.776026000,0.252335000,0.720215,43,81.652649,35078,-0.0066,-0.110,2.256,0.897,-0.049,0.015,0.012,0.056,-0.013,0.075,0.192,-0.099,0.009,-0.107,2.255,0.293,1503,1500,1000,1510,0.006,-0.003,-1.509,1,81,0,0.002,0.000,0.049,0.050,0.003,-0.001,-0.604,0.000,0.000,0.111,0.099,-1.114,0.111
39.789672000,0.265981000,0.730469,43,274.047699,35079,0.0034,-0.110,2.256,0.897,-0.043,0.009,0.013,0.054,-0.015,0.074,0.106,-0.116,-0.013,-0.107,2.255,0.293,1501,1500,1027,1510,0.009,-0.004,-2.263,1,81,0,0.002,0.000,0.043,0.045,0.003,-0.001,-0.604,0.000,0.000,0.108,0.088,-1.079,0.108
39.812856000,0.289165000,0.740723,43,73.319160,35080,0.0129,-0.111,2.256,0.897,-0.038,0.002,0.015,0.052,-0.016,0.075,0.017,-0.124,0.009,-0.107,2.255,0.293,1500,1500,1025,1510,0.013,-0.005,-3.018,1,81,0,0.002,0.000,0.038,0.040,0.004,-0.001,-0.604,0.000,0.000,0.097,0.078,-0.970,0.097
39.824737000,0.301046000,0.750488,43,43.148083,35081,0.0021,-0.111,2.256,0.897,-0.036,-0.004,0.020,0.046,-0.017,0.078,-0.146,-0.119,0.089,-0.107,2.255,0.293,1499,1500,1023,1511,0.017,-0.005,-3.774,1,81,0,0.002,0.000,0.036,0.038,0.004,-0.001,-0.604,0.000,0.000,0.033,0.075,-0.332,0.033
39.825086000,0.301395000,0.758789,43,84.203438,35082,-0.0080,-0.111,2.256,0.898,-0.037,-0.011,0.025,0.040,-0.018,0.082,-0.287,-0.108,0.176,-0.107,2.255,0.293,1498,1499,1020,1511,0.021,-0.006,-4.529,1,81,0,0.002,0.000,0.037,0.039,0.004,-0.000,-0.605,0.000,0.000,-0.008,0.075,0.079,-0.008
39.828937000,0.305246000,0.770508,43,2906.976807,35083,-0.0079,-0.112,2.255,0.898,-0.033,-0.012,0.023,0.035,-0.018,0.085,-0.317,-0.086,0.193,-0.107,2.255,0.293,1497,1500,1019,1512,0.026,-0.006,-5.285,1,81,0,0.002,0.000,0.033,0.036,0.005,-0.000,-0.605,0.000,0.000,0.057,0.069,-0.566,0.057
39.845629000,0.321938000,0.780762,43,259.875275,35084,0.0064,-0.112,2.255,0.898,-0.031,-0.014,0.021,0.030,-0.019,0.088,-0.348,-0.080,0.218,-0.107,2.255,0.293,1497,1500,1019,1512,0.031,-0.006,-6.042,1,81,0,0.002,0.000,0.031,0.033,0.005,-0.000,-0.605,0.000,0.000,0.044,0.064,-0.440,0.044
39.856501000,0.332810000,0.789551,43,59.934074,35085,0.0021,-0.112,2.255,0.898,-0.032,-0.016,0.018,0.026,-0.019,0.091,-0.377,-0.057,0.264,-0.107,2.255,0.293,1497,1499,1020,1513,0.036,-0.006,-6.798,1,81,0,0.003,0.000,0.032,0.034,0.005,0.000,-0.605,0.000,0.000,-0.017,0.066,0.169,-0.017
39.860293000,0.336602000,0.800293,43,92.047127,35086,-0.0070,-0.112,2.255,0.898,-0.031,-0.015,0.014,0.024,-0.019,0.096,-0.340,-0.043,0.296,-0.107,2.255,0.293,1497,1500,1020,1513,0.041,-0.006,-7.554,1,81,0,0.003,0.000,0.031,0.034,0.005,0.000,-0.605,0.000,0.000,0.012,0.065,-0.116,0.012
39.877419000,0.353728000,0.810547,43,264.061249,35087,0.0069,-0.113,2.255,0.898,-0.029,-0.014,0.010,0.024,-0.020,0.099,-0.248,-0.051,0.313,-0.107,2.255,0.293,1497,1500,1021,1514,0.047,-0.006,-8.311,1,81,0,0.003,0.000,0.029,0.032,0.006,0.000,-0.605,0.000,0.000,0.032,0.061,-0.317,0.032
39.889105000,0.365414000,0.819824,43,58.407803,35088,0.0024,-0.113,2.255,0.898,-0.028,-0.012,0.006,0.026,-0.020,0.102,-0.121,-0.047,0.309,-0.107,2.255,0.293,1497,1500,1021,1514,0.053,-0.005,-9.067,1,81,0,0.003,0.000,0.028,0.031,0.006,0.000,-0.605,0.000,0.000,0.027,0.059,-0.270,0.027
39.891541000,0.367850000,0.830566,43,85.638435,35089,-0.0083,-0.113,2.255,0.898,-0.024,-0.011,0.001,0.031,-0.020,0.104,0.006,-0.043,0.285,-0.107,2.255,0.293,1497,1500,1023,1515,0.059,-0.005,-9.823,1,81,0,0.003,0.000,0.024,0.027,0.006,0.000,-0.605,0.000,0.000,0.076,0.051,-0.763,0.076
39.896987000,0.373296000,0.840332,43,411.353363,35090,-0.0043,-0.113,2.255,0.898,-0.021,-0.010,-0.004,0.034,-0.021,0.107,0.097,-0.051,0.273,-0.107,2.255,0.293,1497,1500,1024,1515,0.065,-0.004,-10.579,1,81,0,0.003,0.000,0.021,0.024,0.006,0.001,-0.605,0.000,0.000,0.055,0.045,-0.551,0.055
39.904478000,0.380787000,0.849121,43,183.891144,35091,-0.0013,-0.113,2.255,0.897,-0.019,-0.009,-0.009,0.038,-0.022,0.108,0.174,-0.055,0.245,-0.107,2.255,0.293,1498,1500,1025,1515,0.071,-0.004,-11.334,1,81,0,0.003,0.000,0.019,0.022,0.006,0.001,-0.604,0.000,0.000,0.043,0.041,-0.427,0.043
39.915915000,0.392224000,0.860352,43,133.618393,35092,0.0002,-0.113,2.255,0.897,-0.018,-0.008,-0.014,0.041,-0.022,0.109,0.207,-0.047,0.204,-0.107,2.255,0.293,1498,1500,1026,1515,0.078,-0.003,-12.089,1,81,0,0.003,0.000,0.018,0.021,0.006,0.001,-0.604,0.000,0.000,0.028,0.038,-0.280,0.028
39.926266000,0.402575000,0.870117,43,87.489067,35093,0.0006,-0.114,2.255,0.897,-0.016,-0.005,-0.021,0.045,-0.022,0.109,0.243,-0.044,0.137,-0.107,2.255,0.293,1498,1500,1029,1515,0.084,-0.002,-12.844,1,81,0,0.003,0.000,0.016,0.020,0.007,0.001,-0.604,0.000,0.000,0.025,0.036,-0.250,0.025
39.945184000,0.421493000,0.880371,43,96.655716,35094,0.0087,-0.114,2.255,0.896,-0.015,-0.003,-0.028,0.050,-0.024,0.108,0.308,-0.069,0.096,-0.107,2.255,0.293,1499,1500,1031,1515,0.091,-0.002,-13.598,1,81,0,0.003,0.000,0.015,0.019,0.007,0.001,-0.603,0.000,0.000,0.019,0.034,-0.187,0.019
39.946727000,0.423036000,0.890137,43,52.879276,35095,-0.0082,-0.114,2.255,0.896,-0.013,-0.003,-0.034,0.055,-0.025,0.108,0.364,-0.087,0.062,-0.107,2.255,0.293,1499,1500,1033,1515,0.097,-0.001,-14.351,1,81,0,0.003,0.000,0.013,0.016,0.007,0.001,-0.603,0.000,0.000,0.049,0.029,-0.491,0.049
39.956338000,0.432647000,0.900391,43,651.465820,35096,-0.0007,-0.114,2.255,0.895,-0.010,-0.001,-0.038,0.060,-0.025,0.107,0.400,-0.059,0.016,-0.107,2.255,0.293,1499,1500,1034,1515,0.104,-0.000,-15.104,1,81,0,0.003,0.000,0.010,0.013,0.007,0.001,-0.602,0.000,0.000,0.056,0.023,-0.559,0.056
39.968094000,0.444403000,0.909668,43,104.134125,35097,0.0025,-0.114,2.255,0.895,-0.008,0.004,-0.043,0.066,-0.023,0.105,0.445,0.000,-0.025,-0.107,2.255,0.293,1500,1500,1036,1514,0.111,-0.000,-15.856,1,81,0,0.003,0.000,0.008,0.012,0.007,0.000,-0.602,0.000,0.000,0.035,0.020,-0.349,0.035
39.980034000,0.456343000,0.919922,43,85.099144,35098,0.0017,-0.114,2.255,0.894,-0.007,0.007,-0.045,0.070,-0.022,0.105,0.447,0.034,-0.026,-0.107,2.255,0.293,1501,1500,1036,1514,0.118,0.000,-16.608,1,81,0,0.003,0.000,0.007,0.010,0.007,0.000,-0.601,0.000,0.000,0.031,0.017,-0.309,0.031
39.988575000,0.464884000,0.930176,43,83.801224,35099,-0.0017,-0.114,2.255,0.894,-0.006,0.010,-0.045,0.072,-0.020,0.106,0.386,0.077,-0.002,-0.107,2.255,0.293,1501,1500,1036,1514,0.125,0.000,-17.359,1,81,0,0.003,0.000,0.006,0.010,0.007,0.000,-0.601,0.000,0.000,0.012,0.016,-0.120,0.012
39.999272000,0.475581000,0.940430,43,117.178345,35100,0.0004,-0.114,2.255,0.893,-0.006,0.016,-0.047,0.075,-0.016,0.107,0.348,0.142,0.032,-0.107,2.255,0.293,1503,1500,1036,1515,0.131,-0.000,-18.109,1,81,0,0.003,0.000,0.006,0.009,0.007,-0.000,-0.600,0.000,0.000,0.010,0.015,-0.096,0.010
40.006592000,0.482901000,0.950195,43,93.545372,35101,-0.0025,-0.114,2.256,0.893,-0.004,0.022,-0.050,0.078,-0.014,0.108,0.353,0.149,0.051,-0.107,2.255,0.293,1504,1500,1038,1515,0.138,-0.001,-18.858,1,81,0,0.003,0.000,0.004,0.007,0.007,-0.001,-0.600,0.000,0.000,0.036,0.011,-0.357,0.036
40.017313000,0.493622000,0.958496,43,136.724091,35102,0.0024,-0.114,2.256,0.892,-0.001,0.026,-0.054,0.083,-0.013,0.110,0.391,0.155,0.089,-0.107,2.255,0.293,1505,1500,1039,1515,0.145,-0.002,-19.607,1,81,0,0.003,0.000,0.001,0.004,0.007,-0.001,-0.599,0.000,0.000,0.071,0.005,-0.710,0.071
40.034756000,0.511065000,0.970215,43,93.344536,35103,0.0057,-0.114,2.256,0.892,0.000,0.024,-0.049,0.085,-0.011,0.111,0.336,0.155,0.086,-0.107,2.255,0.293,1504,1500,1037,1515,0.152,-0.003,-20.355,1,81,0,0.003,0.000,-0.000,0.003,0.007,-0.001,-0.599,0.000,0.000,0.024,0.003,-0.243,0.024
40.047704000,0.524013000,0.980469,43,57.352604,35104,0.0027,-0.114,2.257,0.891,0.000,0.022,-0.043,0.083,-0.009,0.111,0.213,0.162,0.064,-0.107,2.255,0.293,1504,1499,1034,1515,0.158,-0.004,-21.103,1,81,0,0.003,0.000,-0.000,0.003,0.007,-0.001,-0.598,0.000,0.000,-0.003,0.003,0.026,-0.003
40.051626000,0.527935000,0.989746,43,77.255875,35105,-0.0054,-0.114,2.257,0.891,0.003,0.021,-0.040,0.084,-0.009,0.109,0.184,0.135,0.011,-0.107,2.255,0.293,1504,1500,1033,1515,0.165,-0.006,-21.851,1,81,0,0.003,0.000,-0.003,0.000,0.007,-0.002,-0.598,-0.000,0.000,0.059,-0.003,-0.587,0.059
40.055586000,0.531895000,1.000000,43,255.427841,35106,-0.0063,-0.113,2.257,0.891,0.007,0.017,-0.036,0.084,-0.010,0.109,0.150,0.082,0.000,-0.107,2.255,0.293,1503,1500,1031,1515,0.171,-0.008,-22.598,1,81,0,0.003,0.000,-0.007,-0.004,0.006,-0.002,-0.598,-0.000,0.000,0.076,-0.010,-0.764,0.076
40.068376000,0.544685000,1.010742,43,252.972427,35107,0.0020,-0.113,2.257,0.891,0.010,0.014,-0.033,0.085,-0.010,0.108,0.122,0.059,-0.031,-0.107,2.255,0.293,1502,1500,1029,1515,0.178,-0.009,-23.345,1,81,0,0.003,0.000,-0.010,-0.006,0.006,-0.002,-0.598,-0.000,0.000,0.050,-0.016,-0.505,0.050
40.078977000,0.555286000,1.020508,43,78.228897,35108,0.0008,-0.113,2.257,0.890,0.012,0.011,-0.029,0.084,-0.010,0.107,0.085,0.045,-0.037,-0.107,2.255,0.293,1502,1500,1027,1515,0.184,-0.011,-24.092,1,81,0,0.003,0.000,-0.012,-0.009,0.006,-0.002,-0.597,-0.000,0.000,0.055,-0.021,-0.552,0.055
40.089450000,0.565759000,1.029785,43,94.393051,35109,0.0012,-0.113,2.257,0.890,0.013,0.009,-0.027,0.083,-0.010,0.107,0.036,0.029,-0.027,-0.107,2.255,0.293,1501,1500,1027,1515,0.190,-0.013,-24.838,1,81,0,0.003,0.000,-0.013,-0.010,0.006,-0.002,-0.597,-0.000,0.000,0.028,-0.024,-0.282,0.028
40.096669000,0.572978000,1.040527,43,95.538361,35110,-0.0035,-0.113,2.257,0.890,0.013,0.008,-0.023,0.082,-0.010,0.107,-0.015,0.022,-0.028,-0.107,2.255,0.293,1501,1499,1025,1515,0.195,-0.014,-25.585,1,81,0,0.003,0.000,-0.013,-0.010,0.006,-0.002,-0.597,-0.000,0.000,-0.006,-0.023,0.064,-0.006
40.105718000,0.582027000,1.050293,43,138.657791,35111,-0.0007,-0.113,2.257,0.890,0.013,0.008,-0.021,0.080,-0.010,0.106,-0.057,0.012,-0.033,-0.107,2.255,0.293,1501,1499,1023,1514,0.201,-0.016,-26.331,1,81,0,0.003,0.000,-0.013,-0.010,0.006,-0.002,-0.597,-0.000,0.000,-0.003,-0.023,0.030,-0.003
40.125833000,0.602142000,1.059570,43,110.595001,35112,0.0108,-0.113,2.257,0.890,0.011,0.008,-0.018,0.078,-0.010,0.106,-0.100,0.018,-0.029,-0.107,2.255,0.293,1501,1499,1021,1514,0.207,-0.018,-27.077,1,81,0,0.003,0.000,-0.011,-0.008,0.006,-0.002,-0.597,-0.000,0.000,-0.033,-0.020,0.328,-0.033
40.137603000,0.613912000,1.069824,43,49.731449,35113,0.0015,-0.113,2.257,0.890,0.010,0.008,-0.015,0.076,-0.010,0.106,-0.129,0.013,-0.035,-0.107,2.255,0.293,1501,1499,1020,1514,0.212,-0.020,-27.823,1,81,0,0.003,0.000,-0.010,-0.007,0.006,-0.002,-0.597,-0.000,0.000,-0.034,-0.016,0.337,-0.034
40.137958000,0.614267000,1.080566,43,85.019554,35114,-0.0104,-0.112,2.257,0.890,0.008,0.008,-0.011,0.074,-0.010,0.105,-0.143,0.010,-0.033,-0.107,2.255,0.293,1501,1499,1018,1514,0.218,-0.022,-28.569,1,81,0,0.003,0.000,-0.008,-0.005,0.005,-0.002,-0.597,-0.000,0.000,-0.033,-0.013,0.327,-0.033
40.152063000,0.628372000,1.090332,43,2857.142822,35115,0.0043,-0.113,2.257,0.890,0.005,0.009,-0.010,0.072,-0.010,0.105,-0.145,0.009,-0.029,-0.107,2.255,0.293,1502,1499,1016,1514,0.223,-0.025,-29.315,1,81,0,0.003,0.000,-0.005,-0.002,0.006,-0.002,-0.597,-0.000,0.000,-0.053,-0.008,0.531,-0.053
40.158937000,0.635246000,1.099121,43,70.911926,35116,-0.0019,-0.113,2.258,0.890,0.002,0.011,-0.009,0.071,-0.009,0.105,-0.151,0.029,-0.015,-0.107,2.255,0.293,1502,1499,1015,1514,0.229,-0.027,-30.061,1,81,0,0.003,0.000,-0.002,0.001,0.006,-0.002,-0.597,-0.000,0.000,-0.078,-0.001,0.785,-0.078
40.168598000,0.644907000,1.110352,43,145.623993,35117,-0.0016,-0.113,2.258,0.890,-0.001,0.011,-0.008,0.069,-0.008,0.105,-0.144,0.044,-0.014,-0.107,2.255,0.293,1502,1499,1015,1514,0.234,-0.029,-30.807,1,81,0,0.003,0.000,0.001,0.004,0.006,-0.002,-0.597,0.000,0.000,-0.049,0.005,0.494,-0.049
40.184660000,0.660969000,1.120117,43,103.562553,35118,0.0063,-0.113,2.258,0.890,-0.003,0.011,-0.007,0.068,-0.007,0.105,-0.131,0.063,-0.015,-0.107,2.255,0.293,1502,1499,1014,1514,0.240,-0.032,-31.552,1,81,0,0.003,0.000,0.003,0.007,0.006,-0.003,-0.597,0.000,0.000,-0.053,0.010,0.528,-0.053
40.192428000,0.668737000,1.129395,43,62.289772,35119,-0.0015,-0.113,2.258,0.890,-0.008,0.013,-0.004,0.066,-0.005,0.105,-0.159,0.096,-0.026,-0.107,2.255,0.293,1502,1499,1011,1514,0.246,-0.035,-32.298,1,81,0,0.003,0.000,0.008,0.011,0.006,-0.003,-0.597,0.000,0.000,-0.105,0.020,1.053,-0.105
40.201402000,0.677711000,1.140137,43,128.865982,35120,-0.0018,-0.113,2.258,0.890,-0.010,0.012,-0.003,0.067,-0.005,0.104,-0.103,0.074,-0.038,-0.107,2.255,0.293,1502,1499,1010,1514,0.252,-0.038,-33.044,1,81,0,0.003,0.000,0.010,0.013,0.006,-0.003,-0.597,0.000,0.000,-0.027,0.023,0.267,-0.027
40.212552000,0.688861000,1.150391,43,111.520020,35121,0.0009,-0.113,2.258,0.890,-0.011,0.009,-0.001,0.067,-0.005,0.104,-0.072,0.053,-0.026,-0.107,2.255,0.293,1502,1499,1009,1514,0.259,-0.040,-33.790,1,81,0,0.003,0.000,0.011,0.014,0.006,-0.003,-0.597,0.000,0.000,-0.022,0.025,0.220,-0.022
40.219086000,0.695395000,1.160156,43,89.726334,35122,-0.0032,-0.113,2.258,0.890,-0.012,0.009,0.001,0.068,-0.005,0.103,-0.028,0.038,-0.048,-0.107,2.255,0.293,1502,1499,1008,1514,0.265,-0.043,-34.536,1,81,0,0.003,0.000,0.012,0.015,0.006,-0.003,-0.597,0.000,0.000,-0.024,0.027,0.236,-0.024
40.226923000,0.703232000,1.169922,43,153.233215,35123,-0.0019,-0.114,2.258,0.890,-0.013,0.007,0.003,0.069,-0.006,0.103,-0.003,0.012,-0.036,-0.107,2.255,0.293,1501,1499,1006,1514,0.272,-0.046,-35.282,1,81,0,0.003,0.000,0.013,0.017,0.007,-0.003,-0.597,0.000,0.000,-0.033,0.030,0.329,-0.033
40.237578000,0.713887000,1.180176,43,127.681305,35124,0.0004,-0.114,2.258,0.890,-0.014,0.005,0.004,0.070,-0.006,0.103,0.036,-0.006,-0.012,-0.107,2.255,0.293,1501,1499,1004,1514,0.278,-0.049,-36.028,1,81,0,0.003,0.000,0.014,0.018,0.007,-0.003,-0.597,0.000,0.000,-0.012,0.032,0.124,-0.012
40.260053000,0.736362000,1.190430,43,93.914352,35125,0.0122,-0.114,2.258,0.890,-0.015,0.004,0.003,0.072,-0.007,0.104,0.076,-0.020,0.016,-0.107,2.255,0.293,1501,1499,1005,1514,0.285,-0.052,-36.774,1,81,0,0.003,0.000,0.015,0.019,0.007,-0.003,-0.597,0.000,0.000,-0.022,0.034,0.217,-0.022
40.269412000,0.745721000,1.200195,43,44.507744,35126,-0.0004,-0.114,2.258,0.890,-0.016,0.004,0.003,0.074,-0.007,0.106,0.112,-0.021,0.044,-0.107,2.255,0.293,1501,1499,1004,1514,0.293,-0.055,-37.521,1,81,0,0.004,0.000,0.016,0.020,0.007,-0.003,-0.597,0.000,0.000,-0.027,0.036,0.265,-0.027
